Study_ID,Year,Title,Venue,Publication_Type,Clinical_Domain,Clinical_Task,Task_Type,Model_Name,Model_Era,Open_or_Closed,Data_Source,Dataset_Name,Study_Design,External_Validation,Code_Available,Weights_Available,Data_Available,DOI_or_URL,Coding_Confidence,Primary_Paradigm,Fusion_Stage,RAG,Agent_or_Tool_Use,Personalization_Level,Retrieval_Type,Agentic_Reasoning,Risk_Mitigation_Evidence,Translational_Evidence_Level
S062,2025,MedTVT-R1: A multimodal LLM empowering medical reasoning and diagnosis,DISS 2025 @ INTERSPEECH / arXiv,Conference/Preprint,Multimodal clinical diagnosis,Tri-modal CXR + ECG + labs reasoning,Reasoning MLLM,MedTVT-R1,Reasoning-Agentic,Open,Public,MedTVT-QA and tri-modal clinical data,Benchmark reasoning/model-development study,No,Yes,NR,Public,https://arxiv.org/abs/2506.18512,High,Reasoning / agentic systems,F5,No,No,P2,None,No,R3,T0
S063,2025,MedPlan: A Two-Stage RAG-Based System for Personalized Medical Plan Generation,arXiv (revised 2026),Preprint,Outpatient / Emergency EHR,Patient-specific assessment and medical plan generation from longitudinal SOAP notes,Clinical plan generation / decision support,MedPlan,Reasoning-Agentic,Mixed,Private,"350,684 outpatient/emergency SOAP notes from 55,890 patients",Retrospective EHR development and evaluation with clinical prototype review,No,NR,NR,Private,https://arxiv.org/abs/2503.17900,High,Reasoning / agentic systems,F0,Yes,No,P4,Patient-specific RAG,No,R0,T1
S064,2026,EHR-RAGp: Retrieval-Augmented Prototype-Guided Foundation Model for Electronic Health Records,arXiv,Preprint,Longitudinal EHR / Clinical Prediction,"Patient-history retrieval for ICU readmission, mortality, and length-of-stay prediction",Clinical prediction / representation learning,EHR-RAGp,MLLM,Open,Public,MIMIC-IV v3.1,Retrospective benchmark study with patient-history retrieval,No,NR,NR,Restricted,https://arxiv.org/abs/2605.12335,High,Multimodal LLMs,F2,Yes,No,P4,Patient-specific RAG,NR,R0,T1
S065,2026,Vital Trace: Protocol-Constrained Patient-State Reasoning for Longitudinal Clinical Trajectories,arXiv,Preprint,Critical Care / Longitudinal EHR,"Forecasting future vasopressor, respiratory, renal support, and overall deterioration",Longitudinal prediction / agentic reasoning,Vital Trace,Reasoning-Agentic,Open,Public,"MIMIC-IV and eICU; 1,000 ICU stays per dataset",Cross-dataset retrospective benchmark with external validation,Yes,NR,NR,Restricted,https://arxiv.org/abs/2602.12833,High,Reasoning / agentic systems,F0,No,Yes,P4,None,Yes,R3,T2
S066,2025,Traj-CoA: Patient Trajectory Modeling via Chain-of-Agents for Lung Cancer Risk Prediction,NeurIPS 2025 GenAI4Health Workshop (arXiv revised 2026),Conference,Lung Cancer / Longitudinal EHR,Five-year longitudinal lung-cancer risk prediction,Risk prediction / agentic trajectory modeling,Traj-CoA,Reasoning-Agentic,Open,Private,"Single-institution 5-year EHR cohort: 13,629 development + 300 test patients",Retrospective case-control study,No,NR,NR,Private,https://arxiv.org/abs/2510.10454,High,Reasoning / agentic systems,F1,No,Yes,P4,None,Yes,R3,T1
S067,2025,CARE-AD: a multi-agent large language model framework for Alzheimer’s disease prediction using longitudinal clinical notes,npj Digital Medicine,Journal,Neurology / Alzheimer's Disease,Early Alzheimer’s disease prediction from longitudinal clinical notes,Clinical prediction / multi-agent reasoning,CARE-AD,Reasoning-Agentic,Open,Private,"VHA Corporate Data Warehouse; 17,488 AD cases + 64,691 controls",Large-scale retrospective longitudinal cohort study,No,NR,NR,Private,https://doi.org/10.1038/s41746-025-01940-4,High,Reasoning / agentic systems,F0,No,Yes,P4,None,Yes,R0,T1
S068,2025,TIMER: temporal instruction modeling and evaluation for longitudinal clinical records,npj Digital Medicine,Journal,Longitudinal EHR / Temporal Reasoning,Temporal reasoning over multi-visit clinical records,Temporal QA / longitudinal reasoning,TIMER,Generative LLM,Open,Private,Multi-visit EHR with clinician-curated temporal benchmark,Retrospective benchmark and temporal instruction-tuning study,No,Yes,NR,Restricted,https://doi.org/10.1038/s41746-025-01965-9,High,Generative LLMs,F0,No,No,P3,None,NR,R3,T1
S069,2026,Clinical large language model centered on electronic medical records,npj Digital Medicine,Journal,General EHR / Clinical Decision Support,Patient-specific clinical reasoning and decision support from longitudinal EMRs,Clinical QA / decision support / retrieval,AI4Doctor / AI4Doc-LLM,Reasoning-Agentic,Mixed,Private,More than 3 million multi-centre inpatient records; 301MedQA evaluation,Multi-centre EHR model development with benchmark and expert evaluation,No,NR,NR,Private,https://doi.org/10.1038/s41746-026-02509-5,High,Reasoning / agentic systems,F1,Yes,No,P4,Patient-specific RAG,NR,R3,T1
S070,2026,A multimodal generative model for structured and unstructured electronic health records,npj Health Systems,Journal,EHR / Multimodal Clinical Data,Disease/readmission prediction and discharge-summary generation from structured and unstructured EHR,Clinical prediction / text generation,Generative Deep Patient (GDP),MLLM,Open,Public,MIMIC-IV,Retrospective multimodal EHR benchmark with human summary evaluation,No,NR,NR,Restricted,https://doi.org/10.1038/s44401-026-00095-y,High,Multimodal LLMs,F3,No,No,P3,None,NR,R0,T1
S071,2026,EHRWorld: A Patient-Centric Medical World Model for Long-Horizon Clinical Trajectories,arXiv,Preprint,Longitudinal EHR / Digital Patient Modeling,Long-horizon patient trajectory modeling and intervention-conditioned simulation,Trajectory simulation / clinical forecasting,EHRWorld,Reasoning-Agentic,Open,Private,"EHRWorld-110K: approximately 110,000 hospitalization episodes and 17.5M events",Large-scale retrospective world-model benchmark,No,NR,NR,Private,https://arxiv.org/abs/2602.03569,High,Reasoning / agentic systems,F1,No,No,P4,None,NR,R3,T1
S072,2025,Large language models forecast patient health trajectories enabling digital twins,npj Digital Medicine,Journal,Longitudinal EHR / Digital Twins,"Forecasting patient health trajectories across critical care, oncology, and neurodegeneration",Longitudinal forecasting / digital twins,DT-GPT,Generative LLM,Open,Both,"MIMIC-IV (35,131); Flatiron NSCLC (16,496); ADNI (1,140)",Multi-cohort retrospective longitudinal forecasting study,Yes,NR,NR,Mixed,https://doi.org/10.1038/s41746-025-02004-3,High,Generative LLMs,F1,No,No,P3,None,NR,R0,T2
S073,2025,HC-LLM: Historical-Constrained Large Language Models for Radiology Report Generation,AAAI 2025,Conference,Radiology / Longitudinal Imaging,Radiology report generation using current and prior chest radiographs plus prior reports,Report generation / longitudinal imaging reasoning,HC-LLM,MLLM,Open,Public,Longitudinal-MIMIC and MS-CXR-T,Longitudinal radiology benchmark study,No,Yes,NR,Restricted,https://arxiv.org/abs/2412.11070,High,Multimodal LLMs,F5,No,No,P3,None,NR,R2,T0
S074,2026,"Harrison.Rad 1.5 Technical Report: A radiology foundation model that can draft reports from images, priors and clinical context",arXiv,Preprint,Radiology / Multimodal Foundation Models,"Radiology report generation and clinical reasoning with current images, priors, and clinical context",Report generation / diagnostic reasoning,Harrison.Rad 1.5,MLLM,Closed,Both,RadBench; simulated FRCR 2B; ReXGradient; internal radiology datasets,Multi-benchmark and internal/external radiology evaluation,Yes,NR,NR,Mixed,https://arxiv.org/abs/2607.05880,High,Multimodal LLMs,F3,No,No,P3,None,NR,R3,T2
S075,2026,ALTER: Modeling Longitudinal Changes via Regional Differencing for 3D CT Report Generation,arXiv,Preprint,Radiology / 3D CT,Longitudinal 3D CT report generation from current and prior CT plus prior report,Report generation / longitudinal change reasoning,ALTER,MLLM,Open,Public,RadGenome-ChestCT longitudinal subset,Longitudinal benchmark study with missing-history handling,No,NR,NR,Public,https://arxiv.org/abs/2608.05615,High,Multimodal LLMs,F5,No,No,P3,None,NR,R0,T0
S076,2026,FHIR-RAG-MEDS: Integrating HL7 FHIR with Retrieval-Augmented Large Language Models for Enhanced Medical Decision Support,AI,Journal,General Clinical Decision Support / FHIR,Patient-specific guideline-grounded decision support using real-time FHIR context,Clinical QA / decision support / RAG,FHIR-RAG-MEDS,Reasoning-Agentic,NR,Both,"70 physician-generated questions across dementia, COPD, hypertension, and sarcopenia",FHIR-integrated clinical decision-support prototype with physician evaluation,No,NR,NR,Mixed,https://doi.org/10.3390/ai7070246,High,Reasoning / agentic systems,F1,Yes,No,P4,Patient-specific RAG,NR,R3,T0
S077,2025,BiomedRAG: A retrieval augmented large language model for biomedicine,Journal of Biomedical Informatics,Journal,Biomedical NLP / RAG,Retrieval-augmented biomedical inference,RAG / knowledge-intensive NLP,BiomedRAG,Reasoning-Agentic,Open,Public,Multiple biomedical benchmarks across five tasks,Multi-benchmark method study,No,Yes,NR,Public,https://doi.org/10.1016/j.jbi.2024.104769,High,Reasoning / agentic systems,F0,Yes,No,P0,RAG,No,R3,T0
S078,2024,Usefulness of the large language model ChatGPT (GPT-4) as a diagnostic tool and information source in dermatology,JEADV Clinical Practice,Journal,Dermatology,Dermatology diagnosis and information generation from clinical images,Multimodal dermatology / specialist evaluation,ChatGPT (GPT-4 with image input),Multimodal LLM,Closed,Public,15 dermatologic clinical images,Cross-sectional MLLM evaluation with 23 dermatology physicians,No,No,No,Public,https://doi.org/10.1002/jvc2.459,High,Multimodal LLMs,F3,No,No,P0,None,No,R3,T0
S079,2023,ChatDoctor: A medical chat model fine-tuned on a large language model Meta-AI (LLaMA) using medical domain knowledge,Cureus,Journal,General medicine / dialogue,Medical dialogue and QA,Medical chatbot / knowledge augmentation,ChatDoctor,Generative LLM,Open,Public,100K patient–doctor dialogues + external knowledge,Model-development + benchmark evaluation,No,Yes,Yes,Public,https://doi.org/10.7759/cureus.40895,High,Generative LLMs,F3,No,No,P0,None,No,R5,T3
S080,2025,Pathology report generation from whole slide images with knowledge retrieval and multi-level regional feature selection,Computer Methods and Programs in Biomedicine,Journal,Pathology / WSI,WSI report generation with case retrieval,Multimodal RAG / report generation,Regional encoder + retrieval + LLM refinement,Reasoning-Agentic,NR,Both,"GastricADC (991 WSIs); Gastric-3300 (3,309 WSIs)",Internal + cross-domain external evaluation,Yes,NR,NR,Mixed,https://doi.org/10.1016/j.cmpb.2025.108677,High,Reasoning / agentic systems,F5,Yes,No,P0,RAG,No,R3,T2
S081,2024,Candidate-Heuristic In-Context Learning: A new framework for enhancing medical visual question answering with LLMs,Information Processing & Management,Journal,Medical VQA / knowledge augmentation,Candidate retrieval + in-context Med-VQA,ICL / retrieval augmentation,CH-ICL,Reasoning-Agentic,NR,Public,PathVQA; VQA-RAD; SLAKE; 16K-term dictionary,Plug-and-play public benchmark evaluation,No,NR,NR,Public,https://doi.org/10.1016/j.ipm.2024.103805,High,Reasoning / agentic systems,F5,Yes,No,P0,Static external context,No,R3,T0
S082,2024,Medical Graph RAG: Towards Safe Medical Large Language Model via Graph Retrieval-Augmented Generation,arXiv,Preprint,General Medical QA / Knowledge Grounding,"Medical QA, fact checking, and long-form evidence-grounded generation",QA / fact checking / grounded generation,MedGraphRAG,Reasoning-Agentic,Open,Public,9 medical QA benchmarks + 2 health fact-checking datasets + 1 long-form generation dataset,Multi-benchmark RAG study,No,Yes,NR,Public,https://arxiv.org/abs/2408.04187,High,Reasoning / agentic systems,F0,Yes,Yes,P0,Graph-RAG,Yes,R3,T0
S083,2025,The Multi-Round Diagnostic RAG Framework for Emulating Clinical Reasoning,arXiv,Preprint,General Clinical Diagnosis / Medical QA,Iterative diagnostic reasoning with follow-up questioning and repeated retrieval,Diagnosis / QA / multi-round reasoning,MRD-RAG,Reasoning-Agentic,Open,Public,CMB-Clin; MM-Cases; TCM-SD-100; TCM-Cases,Four-dataset benchmark with LLM and physician evaluation,No,Yes,NR,Mixed,https://arxiv.org/abs/2504.07724,High,Reasoning / agentic systems,F0,Yes,Yes,P4,Multi-round RAG,Yes,R3,T0
S084,2025,Retrieval-augmented generation elevates local LLM quality in radiology contrast media consultation,npj Digital Medicine,Journal,Radiology / Contrast Media Consultation,Guideline-grounded radiology contrast-media consultation,Clinical QA / consultation,Local LLM + RAG,Generative LLM,Mixed,Private,100 synthetic iodinated-contrast consultation scenarios,Synthetic clinical scenario study with blinded radiologist ranking,No,NR,NR,Private,https://doi.org/10.1038/s41746-025-01802-z,High,Generative LLMs,F0,Yes,No,P4,Patient-specific RAG,NR,R3,T0
S085,2025,Leveraging long context in retrieval augmented language models for medical question answering,npj Digital Medicine,Journal,Medical QA / Long-Context RAG,Medical QA under long retrieved contexts and conflicting evidence,QA / long-context reasoning,BriefContext,Reasoning-Agentic,Open,Public,MIRAGE; PubMedQA; BioASQ; 48 expert-curated open-ended questions,Benchmark + expert-curated open-ended QA study,No,Yes,NR,Public,https://doi.org/10.1038/s41746-025-01651-w,High,Reasoning / agentic systems,F0,Yes,Yes,P0,RAG,NR,R3,T0
S086,2026,An agentic system for rare disease diagnosis with traceable reasoning,Nature,Journal,Rare Disease / Genomics / Multimodal Clinical Reasoning,"Rare-disease differential diagnosis from phenotypes, clinical text, and genetic testing",Diagnosis / agentic tool use / evidence synthesis,DeepRare,Reasoning-Agentic,Mixed,Both,"6,401 clinical cases from 7 public + 2 in-house datasets; 2,919 rare diseases",Multi-dataset clinical evaluation with physician review and deployed web interface,Yes,NR,NR,Mixed,https://doi.org/10.1038/s41586-025-10097-9,High,Reasoning / agentic systems,F5,Yes,Yes,P4,Agentic retrieval,Yes,R4,T2
S087,2026,MED-COPILOT: A Medical Assistant Powered by GraphRAG and Similar Patient Case Retrieval,arXiv,Preprint,Clinical Decision Support / EHR,Guideline-grounded QA and patient-specific clinical note completion,Clinical QA / note completion / decision support,MED-COPILOT,Reasoning-Agentic,Open,Both,"WHO/NICE guideline graph + 36,000 patient-case database from MIMIC-IV and Synthea",Benchmark + retrospective/synthetic patient-case evaluation with ablations,No,Yes,NR,Mixed,https://arxiv.org/abs/2603.00460,High,Reasoning / agentic systems,F1,Yes,Yes,P4,Patient-specific RAG,Yes,R3,T1
S088,2026,Iterative Multimodal Retrieval-Augmented Generation for Medical Question Answering,arXiv,Preprint,Medical VQA / Multimodal Retrieval,Medical question answering with iterative retrieval of page images and visual evidence,VQA / multimodal RAG / iterative reasoning,MED-VRAG,Reasoning-Agentic,Open,Public,MedQA; MedMCQA; PubMedQA; MMLU-Med; ~350K PMC page images,Four-benchmark multimodal RAG study with ablations,No,NR,NR,Public,https://arxiv.org/abs/2604.27724,High,Reasoning / agentic systems,F3,Yes,Yes,P0,Multimodal RAG,Yes,R3,T0
S089,2026,Artificial Intelligence Note Summarization in the Emergency Department,JAMA Network Open,Journal,Emergency Medicine / EHR Summarization,EHR-integrated AI summaries to reduce physician medical-record review time,Summarization / prospective workflow evaluation,EHR-integrated AI summarizer,Generative LLM,Closed,Private,"10 emergency physicians; 60 shifts (30 AI-enabled, 30 control)",Prospective within-participant crossover time-motion quality-improvement study,No,NR,NR,Private,https://doi.org/10.1001/jamanetworkopen.2026.18021,High,Generative LLMs,F0,No,No,P3,None,NR,R4,T4
S090,2026,SEMA-RAG: A Self-Evolving Multi-Agent Retrieval-Augmented Generation Framework for Medical Reasoning,Findings of ACL 2026,Conference,Medical QA / Agentic RAG,Multi-round medical QA with evidence-sufficiency assessment and adaptive retrieval,QA / agentic retrieval / iterative reasoning,SEMA-RAG,Reasoning-Agentic,Open,Public,5 medical QA benchmarks,Five-benchmark multi-backbone study with ablations,No,Yes,NR,Public,https://arxiv.org/abs/2605.17101,High,Reasoning / agentic systems,F0,Yes,Yes,P0,Multi-round RAG,Yes,R3,T0
S091,2025,Agentic Medical Knowledge Graphs Enhance Medical Question Answering: Bridging the Gap Between LLMs and Evolving Medical Knowledge,Findings of EMNLP 2025,Conference,Medical QA / Knowledge Graphs,Medical QA using automatically updated knowledge graphs and agentic reasoning,QA / Graph-RAG / agentic reasoning,AMG-RAG,Reasoning-Agentic,Open,Public,MedQA; MedMCQA and evolving external medical knowledge,Benchmark study,No,Yes,NR,Public,https://aclanthology.org/2025.findings-emnlp.679/,High,Reasoning / agentic systems,F0,Yes,Yes,P0,Graph-RAG,Yes,R3,T0
S092,2026,MedRAGChecker: Claim-Level Verification for Biomedical Retrieval-Augmented Generation,arXiv,Preprint,Medical RAG Safety / Evaluation,"Claim-level verification of factuality, hallucination, context support, and safety",RAG evaluation / factuality verification,MedRAGChecker,Reasoning-Agentic,Open,Public,MedRedQA; TREC LiveQA Medical; MedQuAD; PubMedQA,Four-dataset RAG-verification benchmark with human evaluation,No,NR,NR,Public,https://arxiv.org/abs/2601.06519,High,Reasoning / agentic systems,F0,Yes,Yes,P0,RAG,NR,R3,T0
S093,2026,RAG-X: Systematic Diagnosis of Retrieval-Augmented Generation for Medical Question Answering,arXiv,Preprint,Medical RAG Evaluation / Safety,"Disaggregated evaluation of retrieval, evidence use, and generation across medical QA tasks",RAG evaluation / QA / grounding,RAG-X,Generative LLM,Open,Public,PubMedQA; GuidelineQA; MedQuAD-GHR,Three-dataset diagnostic benchmark study,No,Yes,NR,Public,https://arxiv.org/abs/2603.03541,High,Generative LLMs,F0,Yes,No,P0,RAG,NR,R3,T0
S094,2026,Linking Knowledge to Care: Knowledge Graph-Augmented Medical Follow-Up Question Generation,Findings of EACL 2026,Conference,Clinical Dialogue / Follow-Up Reasoning,Patient-specific follow-up question generation from clinical conversations and EHR context,Dialogue / diagnostic reasoning / Graph-RAG,KG-Followup,Reasoning-Agentic,Open,Public,ClinicalInquiryBench; FollowupBench,Two-benchmark study,No,Yes,NR,Public,https://arxiv.org/abs/2603.01252,High,Reasoning / agentic systems,F1,Yes,Yes,P4,Graph-RAG,Yes,R3,T0
S095,2026,MedClarify: An information-seeking AI agent for medical diagnosis with case-specific follow-up questions,arXiv,Preprint,Clinical Diagnosis / Interactive Reasoning,Adaptive follow-up questioning to reduce diagnostic uncertainty,Diagnosis / information-seeking agent,MedClarify,Reasoning-Agentic,Open,Public,Clinical diagnostic benchmarks / simulated interactions,Interactive diagnostic benchmark study,No,Yes,NR,Public,https://arxiv.org/abs/2602.17308,High,Reasoning / agentic systems,F0,No,Yes,P4,None,Yes,R3,T0
S096,2024,Large Language Model Influence on Diagnostic Reasoning: A Randomized Clinical Trial,JAMA Network Open,Journal,General Diagnosis / Clinical Reasoning,Effect of LLM access on physician diagnostic reasoning,Diagnosis / physician-AI randomized trial,GPT-4 assistance,Generative LLM,Closed,Private,50 physicians; standardized clinical vignettes,Prospective randomized simulated-clinical trial,No,NR,NR,Private,https://doi.org/10.1001/jamanetworkopen.2024.40969,High,Generative LLMs,F0,No,No,P0,None,NR,R3,T3
S097,2026,Unlocking Electronic Health Records: A Hybrid Graph RAG Approach to Safe Clinical AI for Patient QA,Frontiers in Digital Health,Journal,EHR / Patient-Specific QA,Patient-specific question answering over structured and unstructured EHR data,Clinical QA / hybrid Graph-RAG,MediGRAF,Reasoning-Agentic,Open,Public,"10 MIMIC-IV patients; 5,973 graph nodes and 5,963 relationships",Retrospective EHR prototype with expert evaluation,No,Yes,NR,Restricted,https://doi.org/10.3389/fdgth.2026.1780700,High,Reasoning / agentic systems,F1,Yes,Yes,P4,Patient-specific RAG,Yes,R4,T1
S098,2026,Safety of a large language model-based clinical decision support system in African primary healthcare,Nature Health,Journal,Primary Care / LMIC / Safety,Safety of actively deployed LLM clinical decision support,Clinical decision support / deployment safety audit,AI Consult V1,Generative LLM,Closed,Private,"1,469 randomly sampled consultation records from 16 primary-care clinics",Retrospective observational safety evaluation of active deployment,No,NR,NR,Private,https://doi.org/10.1038/s44360-026-00082-5,High,Generative LLMs,F1,No,No,P4,None,NR,R4,T4
S099,2025,"Rethinking Retrieval-Augmented Generation for Medicine: A Large-Scale, Systematic Expert Evaluation and Practical Insights",arXiv,Preprint,Medical RAG Evaluation / Human Expert Study,"Expert evaluation of retrieval relevance, evidence selection, factuality, and completeness in medical RAG",RAG evaluation / QA / expert study,Medical RAG Expert Evaluation,Generative LLM,Mixed,Public,"200 real-world patient and USMLE-style queries; 800 model outputs; 80,502 expert annotations",Large-scale expert evaluation with 18 medical experts,No,Yes,NR,Public,https://arxiv.org/abs/2511.06738,High,Generative LLMs,F0,Yes,No,P0,RAG,NR,R4,T0
S100,2025,MMed-RAG: Versatile Multimodal RAG System for Medical Vision Language Models,ICLR 2025,Conference,Medical Vision-Language / Multimodal RAG,"Medical VQA and multimodal knowledge grounding across radiology, ophthalmology, and pathology",VQA / multimodal RAG,MMed-RAG,MLLM,Open,Public,MIMIC-CXR; IU-Xray; Harvard-FairVLMed; PMC-OA pathology subset; Quilt-1M,Five-dataset multimodal RAG benchmark and ablation study,No,Yes,NR,Public,https://arxiv.org/abs/2410.13085,High,Multimodal LLMs,F3,Yes,No,P0,Multimodal RAG,NR,R3,T0
S101,2025,Real-world application of large language models for automated TNM staging using unstructured gynecologic oncology reports,npj Precision Oncology,Journal,Gynecologic oncology / registry,Automated TNM staging,Real-world clinical NLP,Gemini 1.5 / Qwen2.5-72B,Generative LLM,Mixed,Private,Real-world gynecologic oncology reports,Retrospective real-world registry evaluation,No,NR,Mixed,Private,https://doi.org/10.1038/s41698-025-01157-4,High,Generative LLMs,F0,Yes,No,P1,Static external context,No,R2,T0
S102,2025,Collaboration between clinicians and vision–language models in radiology report generation,Nature Medicine,Journal,Radiology / workflow,Clinician–VLM chest X-ray report generation,Report generation / clinician collaboration,Flamingo-CXR,MLLM,NR,Both,MIMIC-CXR + prospective IND1 cohort,Benchmark + prospective clinician-involved evaluation,Yes,NR,NR,Mixed,https://doi.org/10.1038/s41591-024-03302-1,High,Multimodal LLMs,F0,No,No,P1,None,No,R3,T1
S103,2025,Beyond pixel agreement: Large language models as clinical guardrails for reliable medical image segmentation,"2025 IEEE International Conference on AI in Cybersecurity, Information, and Privacy (AICSIP)",Conference,Segmentation / safety,Clinical quality assessment of masks,LLM safety guardrail,HCR / Gemini 2.5 Flash,Reasoning-Agentic,Closed,Public,Six segmentation quality-assessment tasks,Zero-shot safety/quality benchmark,No,NR,No,Public,https://arxiv.org/abs/2506.01841,High,Reasoning / agentic systems,F4,No,No,P0,None,No,R3,T0
S104,2025,A framework to assess clinical safety and hallucination rates of LLMs for medical text summarisation,npj Digital Medicine,Journal,Clinical Documentation / Summarization,Clinical note generation with sentence-level hallucination and omission auditing,Summarization / safety evaluation,CREOLA safety framework,Generative LLM,Mixed,Private,"18 experimental configurations; 450 clinical notes; 12,999 annotated generated sentences",Clinical summarization safety evaluation with clinician annotation,No,NR,NR,Private,https://doi.org/10.1038/s41746-025-01670-7,High,Generative LLMs,F0,No,No,P3,None,NR,R4,T1
S105,2026,Knowing When to Abstain: Medical LLMs Under Clinical Uncertainty,arXiv,Preprint,Medical QA / Uncertainty,Abstention-aware medical multiple-choice QA under underspecification and adversarial perturbation,QA / uncertainty / abstention,MedAbstain,Generative LLM,Mixed,Public,AMBOSS; MedQA with perturbed and explicit-abstention variants,Benchmark study with conformal prediction and human evaluation,No,NR,NR,Public,https://arxiv.org/abs/2601.12471,High,Generative LLMs,F0,No,No,P0,None,No,R3,T0
S106,2025,MedHEval: Benchmarking Hallucinations and Mitigation Strategies in Medical Large Vision-Language Models,aclanthology,Conference,Medical Vision-Language / Hallucination,"Hallucination benchmarking by visual misinterpretation, knowledge deficiency, and context misalignment",VQA / hallucination evaluation,MedHEval,MLLM,Open,Public,Medical VQA benchmarks spanning close- and open-ended questions,Benchmark of 11 medical/general LVLMs and 7 mitigation techniques,No,Yes,NR,Public,https://arxiv.org/abs/2503.02157,High,Multimodal LLMs,NR,No,No,P0,None,NR,R3,T0
S107,2025,MedHallTune: An Instruction-Tuning Benchmark for Mitigating Medical Hallucination in Vision-Language Models,arXiv (revised 2026),Preprint,Medical Vision-Language / Hallucination,Hallucination-aware instruction tuning for medical VLMs,VQA / hallucination mitigation / instruction tuning,MedHallTune,MLLM,Open,Public,">100,000 medical images and 1,000,000 hallucination/non-hallucination instruction pairs",Large-scale instruction-tuning benchmark and downstream VQA evaluation,No,Yes,NR,Public,https://arxiv.org/abs/2502.20780,High,Multimodal LLMs,NR,No,No,P0,None,NR,R3,T0
S108,2026,Med-VCD: Mitigating Hallucination for Medical Large Vision Language Models through Visual Contrastive Decoding,Computers in Biology and Medicine,Journal,Medical Vision-Language / Hallucination,Hallucination mitigation for VQA and report generation through sparse visual contrastive decoding,VQA / report generation / hallucination mitigation,Med-VCD,MLLM,Open,Public,"8 medical datasets across ophthalmology, radiology, pathology, VQA, report generation, and hallucination benchmarks",Eight-dataset technical evaluation,No,NR,NR,Public,https://doi.org/10.1016/j.compbiomed.2025.111347,High,Multimodal LLMs,NR,No,No,P0,None,NR,R3,T0
S109,2026,Confidence Calibration for Multimodal LLMs: An Empirical Study through Medical VQA,Springer,Book Chapter,Medical VQA / Calibration,Confidence calibration for medical multimodal LLMs,VQA / uncertainty / calibration,MS-FBI calibration,MLLM,Open,Public,Med-VQA; VQA-RAD; SLAKE,Three-dataset calibration study across medical/general MLLMs,No,NR,NR,Public,https://arxiv.org/abs/2606.19950,High,Multimodal LLMs,NR,No,Yes,P0,None,NR,R3,T0
S110,2026,CARE: A Conformal Safety Layer for Medical Summarization,arXiv,Preprint,Clinical Summarization / Calibration,Formal risk control for hallucination and omission review in medical summaries,Summarization / conformal prediction / safety layer,CARE,Reasoning-Agentic,Open,Both,ACI-Bench; MIMIC-BHC; MIMIC-CXR; SumPubMed; Priv-DS,Multi-dataset conformal calibration study with clinician study,No,Yes,NR,Mixed,https://arxiv.org/abs/2606.08969,High,Reasoning / agentic systems,F0,No,Yes,P3,None,NR,R4,T1
S111,2025,Sociodemographic bias in large language model--assisted gastroenterology,JAMA Network Open,Journal,Gastroenterology / Fairness,Effect of sociodemographic attributes on LLM clinical recommendations,Clinical decision support / fairness audit,10-LLM ensemble evaluation,Generative LLM,Mixed,Private,"100 clinician-validated gastroenterology cases × 34 demographic variants; 136,000 responses",Controlled quality-improvement fairness study,No,NR,NR,Private,https://doi.org/10.1001/jamanetworkopen.2025.32692,High,Generative LLMs,F0,No,No,P1,None,NR,R3,T0
S112,2025,Racial bias in AI-mediated psychiatric diagnosis and treatment: a qualitative comparison of four large language models,npj Digital Medicine,Journal,Psychiatry / Fairness,Racial bias in psychiatric diagnosis and treatment recommendations,Diagnosis / treatment planning / fairness,Four-LLM bias evaluation,Generative LLM,Mixed,Private,10 psychiatric cases × race-neutral/race-implied/race-explicit conditions; 120 outputs,Controlled qualitative bias evaluation by clinical/social psychologists,No,NR,NR,Private,https://doi.org/10.1038/s41746-025-01746-4,High,Generative LLMs,F0,No,No,P1,None,NR,R2,T0
S113,2025,Improving Fairness of Large Language Model-Based ICU Mortality Prediction via Case-Based Prompting,arXiv,Preprint,Critical Care / Fairness,Bias mitigation for ICU mortality prediction across sex and race,Clinical prediction / fairness mitigation,CAP,Reasoning-Agentic,Open,Public,MIMIC-IV ICU mortality cohort,Retrospective EHR benchmark with fairness and performance evaluation,No,NR,NR,Restricted,https://arxiv.org/abs/2512.19735,High,Reasoning / agentic systems,F1,Yes,No,P4,Patient-specific RAG,NR,R3,T1
S114,2024,FMBench: Benchmarking Fairness in Multimodal Large Language Models on Medical Tasks,arXiv,Preprint,Medical Vision-Language / Fairness,"Fairness benchmarking across race, ethnicity, language, and gender",VQA / report generation / fairness benchmark,FMBench,MLLM,Open,Public,Fairness-focused VQA and report-generation benchmark,Zero-shot benchmark of 8 open-source MLLMs (7B–26B),No,NR,NR,Public,https://arxiv.org/abs/2410.01089,High,Multimodal LLMs,NR,No,No,P0,None,NR,R3,T0
S115,2025,Vulnerability of Large Language Models to Prompt Injection When Providing Medical Advice,JAMA Network Open,Journal,Clinical Advice / Security,Prompt-injection manipulation of medical treatment recommendations,Clinical QA / adversarial security,Prompt-injection evaluation,Generative LLM,Closed,Private,216 controlled patient-LLM dialogues across 12 clinical scenarios and 6 commercial LLMs,Controlled security simulation,No,NR,NR,Private,https://doi.org/10.1001/jamanetworkopen.2025.49963,High,Generative LLMs,F0,No,No,P1,None,NR,R3,T0
