Study_ID,Demographics,Patient_History,Current_Clinical_Context,Imaging,Reports,Labs,Medications,Comorbidities,Prior_Imaging,Prior_Visits,Patient_Preferences,Longitudinal_Modeling,Patient_Context_Used,Multimodal_Patient_Context,Patient_Conditioned_Retrieval,Individualized_Recommendation,Personalization_Ablation,Personalization_Level,Retrieval_Type,Knowledge_Source,Tool_Use,Agentic_Reasoning,Hallucination_Assessed,Hallucination_Mitigation,Risk_Mitigation_Evidence,Translational_Evidence_Level,Unnamed_28,Unnamed_29
S136,NR,Yes,Yes,NR,Yes,NR,NR,NR,NR,Yes,NR,Yes,Yes,No,NR,NR,NR,P3,None,History & physical plus daily progress notes with source citations,NR,Yes,Yes,"Iterative refinement, source-linked statements and hallucination-reduction stages",R5,T4,,
S137,Yes,Yes,Yes,NR,Yes,NR,NR,NR,NR,NR,NR,NR,Yes,NR,NR,NR,NR,P1,None,"Patient message, selected structured data, and last clinic note",NR,NR,NR,NR,R4,T4,,
S138,Yes,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,NR,NR,NR,P1,None,Interactive participant questions and e-learning content,NR,NR,NR,NR,R3,T3,,
S139,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,NR,NR,NR,NR,P0,None,Ten standardized medical scenarios,NR,NR,NR,NR,R4,T3,,
S140,NR,Yes,Yes,NR,Yes,NR,NR,NR,NR,NR,NR,NR,Yes,NR,NR,NR,NR,P1,None,ED patient record used for discharge documentation,NR,NR,No,NR,R4,T1,,
S141,NR,Yes,Yes,NR,Yes,NR,NR,NR,NR,Yes,NR,Yes,Yes,NR,NR,NR,NR,P3,None,Longitudinal inpatient notes,NR,NR,Yes,NR,R4,T1,,
S142,NR,Yes,Yes,NR,Yes,NR,NR,NR,NR,Yes,NR,Yes,Yes,NR,NR,NR,NR,P3,None,Concatenated longitudinal clinical-note corpus,NR,NR,Yes,NR,R4,T1,,
S143,Yes,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,NR,NR,NR,P1,None,Interactive vaccine-information conversation,NR,NR,NR,NR,R3,T3,,
S144,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Clinical text corpora,None explicitly,No,No,No,NR,R0,T0
S145,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Clinical + biomedical corpora,None explicitly,No,No,No,NR,R2,T0
