Study_ID,Model_Config,Input_Text,Input_2D_Image,Input_3D_Image,Input_Pathology_WSI,Input_EHR,Input_Tabular_Clinical,Input_Labs,Vision_Encoder,LLM_Backbone,Alignment_Module,Fusion_Stage,Fusion_Operator,Fusion_Directionality,Temporal_Fusion,Missing_Modality_Handling,Pretraining_Strategy,Adaptation_Strategy,CPT,SFT,PEFT,ICL,RL_or_RLHF,RAG,Agent_or_Tool_Use,Unnamed_27
S085,BriefContext,Yes,No,No,No,No,No,No,NR,Mixtral and other LLMs,Preflight + map-reduce long-context RAG,F0,Long-context evidence mapping/reduction; conflict-aware evidence aggregation,Iterative,None,NR,Backbone-specific,Long-context RAG / map-reduce prompting,No,No,No,Yes,No,Yes,Yes,
S086,DeepRare,Yes,No,No,No,Yes,Yes,Yes,Specialist tools for genomic/phenotype processing,DeepSeek-V3 host + specialist models,Agent/tool orchestration + multimodal evidence memory,F5,Phenotype/genetic/clinical evidence integration; web/tool retrieval; specialist-agent fusion,Iterative,Longitudinal,Agent selects tools/evidence based on case state,Pretrained specialist tools + LLMs,Agentic reasoning and tool use,No,No,No,Yes,No,Yes,Yes,
S087,MED-COPILOT,Yes,No,No,No,Yes,Yes,Yes,NR,GPT-4.1-mini and other LLMs,Guideline GraphRAG + hybrid similar-patient retrieval,F1,Structured patient context + GraphRAG + semantic/keyword similar-patient retrieval,Iterative,Prior-current,Retriever works over variable patient records,Backbone-specific,Patient-conditioned GraphRAG + similar-patient RAG,No,No,No,Yes,No,Yes,Yes,
S088,MED-VRAG,Yes,Yes,No,No,No,No,No,ColQwen2.5 patch retriever,Qwen2.5-VL-32B,Patch-level visual retrieval + MapReduce filter + memory bank,F3,Page-image patch retrieval; visual-text interaction; iterative multimodal evidence selection,Iterative,None,NR,Backbone-specific,Iterative multimodal RAG,No,No,No,Yes,No,Yes,Yes,
S089,EHR-integrated AI note summarizer,Yes,No,No,No,Yes,No,No,NR,Proprietary EHR-integrated generative AI,Longitudinal note summarization,F0,Text-only multi-note record summarization,Unidirectional,Longitudinal,NR,Proprietary,Real-world ED summarization,No,No,No,No,No,No,No,
S090,SEMA-RAG,Yes,No,No,No,No,No,No,NR,DeepSeek/Qwen and other LLMs,Interpreter–Explorer–Arbiter agent loop,F0,Sufficiency-driven iterative retrieval and evidence arbitration,Iterative,None,NR,Backbone-specific,Multi-agent multi-round RAG,No,No,No,Yes,No,Yes,Yes,
S091,AMG-RAG,Yes,No,No,No,No,No,No,NR,LLM backbones in experiments,Agentic evolving medical knowledge graph,F0,Graph construction/update + graph-grounded retrieval + agentic reasoning,Iterative,None,NR,Backbone-specific,Agentic Graph-RAG,No,No,No,Yes,No,Yes,Yes,
S092,MedRAGChecker,Yes,No,No,No,No,No,No,NR,Meditron3-8B; PMC-LLaMA13B; Med-Qwen2-7B; Med42-Llama3-8B,Claim decomposition + NLI + DRKG KG consistency + calibrated verifier fusion,F0,Verification-signal fusion rather than patient-modality fusion,Iterative,None,NR,Backbone-specific,RAG verification / checker distillation,No,Yes,No,No,No,Yes,Yes,
S093,RAG-X,Yes,No,No,No,No,No,No,NR,Llama3.1-8B; Gemma2-9B; Qwen2.5-7B,Disaggregated retriever-generator evaluation,F0,No multimodal fusion; retrieval/evidence/generation diagnostic decomposition,Unidirectional,None,NR,Backbone-specific,RAG evaluation with CUE analysis,No,No,No,Yes,No,Yes,No,
S094,KG-Followup,Yes,No,No,No,Yes,Yes,No,NR,LLM backbone + medical KG,Medical entity extraction + KG path retrieval + active ICL,F1,Patient conversation/EHR serialization + concept/path retrieval from medical KG,Iterative,Prior-current,NR,Backbone-specific,KG-guided retrieval + active in-context learning,No,No,No,Yes,No,Yes,Yes,
S095,MedClarify,Yes,No,No,No,No,No,No,NR,LLM diagnostic agent,Expected-information-gain clarification policy,F0,No external retrieval; iterative information-seeking from patient interaction,Iterative,None,NR,Backbone-specific,Agentic clarification / uncertainty reduction,No,No,No,Yes,No,No,Yes,
S096,GPT-4 diagnostic assistance,Yes,No,No,No,No,No,No,NR,GPT-4,NR,F0,No multimodal fusion,Iterative,None,NR,GPT-4 pretrained,Physician-directed prompting,No,No,No,Yes,No,No,No,
S097,MediGRAF,Yes,No,No,No,Yes,Yes,Yes,NR,LLM + Neo4j/Text2Cypher stack,Graph traversal + vector retrieval,F1,Structured patient-graph traversal + unstructured narrative vector retrieval,Iterative,Longitudinal,Patient graph preserves sparse/missing EHR structure,Backbone-specific,Patient-specific hybrid Graph-RAG,No,No,No,Yes,No,Yes,Yes,
S098,AI Consult V1 / GPT-4o,Yes,No,No,No,Yes,Yes,Yes,NR,GPT-4o,Structured and free-text EMR context prompting,F1,"Symptoms, vitals, history and other encounter data serialized into patient-specific clinical prompt",Unidirectional,None,NR,GPT-4o pretrained,Point-of-care clinical decision support,No,No,No,Yes,No,No,No,
S099,Expert RAG evaluation pipelines,Yes,No,No,No,No,No,No,NR,GPT-4o; Llama3.1-8B,Standard RAG with expert decomposition of retrieval and evidence selection,F0,No multimodal fusion; retrieval→selection→generation evaluation,Unidirectional,None,NR,Backbone-specific,Standard RAG + filtering/query-reformulation interventions,No,No,No,Yes,No,Yes,No,
S100,MMed-RAG,Yes,Yes,No,No,No,No,No,Domain-aware multimodal retriever,LLaVA-Med1.5 and other Med-LVLMs,Domain-aware retrieval + adaptive context selection + RAG preference tuning,F3,Image/text medical retrieval; adaptive multimodal context injection,Unidirectional,None,NR,Medical LVLM pretraining,RAG preference tuning,No,Yes,No,No,No,Yes,No,
S101,ChatDoctor,Yes,No,No,No,No,No,No,NR,LLaMA,NR,F0,NR,Unidirectional,None,NR,Pretrained model,Dialogue fine-tuning + external medical knowledge lookup,No,Yes,NR,Yes,No,Yes,No,
S102,Gemini 1.5 / Qwen2.5-72B,Yes,No,No,No,Yes,No,No,NR,Gemini 1.5 / Qwen2.5-72B,NR,F0,NR,Unidirectional,None,NR,Pretrained model,Prompted TNM extraction from raw oncology reports,No,NR,NR,Yes,No,No,No,
S103,HCR / Gemini 2.5 Flash,Yes,Yes,No,No,No,No,No,Gemini native multimodal encoder,Gemini 2.5 Flash,Native multimodal reasoning,F4,Decision-level LLM quality classification,Unidirectional,None,NR,Pretrained model,Hierarchical clinical reasoning prompts,No,NR,NR,Yes,No,No,No,
S104,Clinical note summarization safety pipeline,Yes,No,No,No,Yes,No,No,NR,Multiple LLM configurations,Prompt/workflow configurations + CREOLA audit UI,F0,Text-only summarization; no multimodal fusion,Unidirectional,Longitudinal,NR,Backbone-specific,Prompt/workflow refinement,No,No,No,Yes,No,No,No,
S105,MedAbstain benchmark,Yes,No,No,No,No,No,No,NR,Open and closed LLMs,Conformal prediction + explicit abstention option,F0,No multimodal fusion,Unidirectional,None,Missing/removed question context is an explicit evaluation condition,Backbone-specific,"Zero/few-shot, CoT, conformal uncertainty",No,No,No,Yes,No,No,No,
S106,MedHEval across 11 LVLMs,Yes,Yes,No,No,No,No,No,Model-dependent,11 general/medical LVLMs,Model-dependent,NR,Model-dependent visual-language fusion,Unidirectional,None,NR,Backbone-specific,7 hallucination mitigation methods evaluated,No,No,No,No,No,No,No,
S107,MedHallTune-tuned VLMs,Yes,Yes,No,No,No,No,No,Model-dependent,Multiple medical/general VLMs,Model-dependent,NR,Model-dependent medical VLM fusion,Unidirectional,None,NR,Backbone-specific,Hallucination-aware instruction tuning,No,Yes,NR,No,No,No,No,
S108,Med-VCD on medical LVLMs,Yes,Yes,No,No,No,No,No,Model-dependent,Medical LVLM backbones,Sparse visual-contrastive decoding + token sparsification,NR,Visual evidence reweighting at decoding; model-dependent fusion,Unidirectional,None,NR,Backbone-specific,Inference-time contrastive decoding,No,No,No,No,No,No,No,
S109,MS-FBI calibration,Yes,Yes,No,No,No,No,No,Model-dependent,LLaVA-1.5-med-7B; LLaVA-NeXT-7B; Molmo-7B,Multi-strategy interrogation + auxiliary expert LLM,NR,Model-dependent VQA fusion; confidence calibrated post hoc,Iterative,None,NR,Backbone-specific,Post-hoc confidence calibration,No,No,No,No,No,No,Yes,
S110,CARE conformal safety layer,Yes,No,No,No,Yes,No,No,NR,Multiple summarizers/judges,Joint importance + non-coverage conformal calibration,F0,Text-only safety layer,Unidirectional,Longitudinal,NR,Backbone-specific,Conformal risk-control calibration,No,No,No,No,No,No,Yes,
S111,10-LLM demographic perturbation audit,Yes,No,No,No,No,No,No,NR,10 commercial/open LLMs,Controlled demographic perturbation,F0,No multimodal fusion,Unidirectional,None,NR,Backbone-specific,No mitigation; fairness audit,No,No,No,No,No,No,No,
S112,Four-LLM psychiatric bias evaluation,Yes,No,No,No,No,No,No,NR,Claude; ChatGPT; Gemini; NewMes-15,Race-neutral/implied/explicit counterfactual prompting,F0,No multimodal fusion,Unidirectional,None,NR,Backbone-specific,No mitigation; fairness audit,No,No,No,No,No,No,No,
S113,CAP,Yes,No,No,No,Yes,Yes,Yes,NR,LLM mortality predictor,Case-based prompting with similar historical mispredictions,F1,Structured patient context + retrieved corrective cases,Unidirectional,None,NR,Backbone-specific,Training-free fairness prompting,No,No,No,Yes,No,Yes,No,
S114,FMBench configurations,Yes,Yes,No,No,No,No,No,Model-dependent,8 open-source MLLMs (7B–26B),Model-dependent,NR,Model-dependent VQA/report generation fusion,Unidirectional,None,NR,Backbone-specific,Fairness evaluation only,No,No,No,No,No,No,No,
S115,Commercial LLM prompt-injection simulation,Yes,No,No,No,No,No,No,NR,GPT-4o-mini; Gemini-2.0-flash-lite; Claude-3-haiku; GPT-5; Gemini 2.5 Pro; Claude 4.5 Sonnet,Direct/context-aware and evidence-fabrication injection,F0,No multimodal fusion,Iterative,None,NR,Commercial pretrained,No mitigation; adversarial evaluation,No,No,No,Yes,No,No,No,
S116,Four surgical VLMs under text/visual injection,Yes,Yes,No,No,No,No,No,Video encoders model-dependent,Gemini 1.5/2.5; GPT-o4-mini-high; Qwen2.5-VL,Textual and temporally varying visual prompt injection,F3,Native video/image-text VLM fusion under attack,Iterative,None,NR,Backbone-specific,No mitigation; adversarial attack evaluation,No,No,No,Yes,No,No,No,
S117,MPIB benchmark and defenses,Yes,No,No,No,No,No,No,NR,Multiple LLM/RAG systems,Direct and indirect RAG-mediated injection + defense harness,F0,Text/RAG security benchmark; no patient-modality fusion,Iterative,None,NR,Backbone-specific,Defense harness benchmarking,No,No,No,Yes,No,Yes,Yes,
S118,DP-LoRA clinical text classifier,Yes,No,No,No,No,No,No,NR,BERT-small; BERT-medium; ALBERT-base,DP-SGD + LoRA,F0,Text-only classification,Unidirectional,None,NR,BERT-family pretraining,LoRA + differential privacy,No,Yes,Yes,No,No,No,No,
S119,MedPriv-Bench,Yes,No,No,No,No,Yes,Yes,NR,9 representative LLMs,Privacy-pressure contexts + NLI leakage judge,F1,Sensitive patient context textualization for QA,Unidirectional,None,NR,Backbone-specific,No mitigation; privacy benchmark,No,No,No,Yes,No,No,Yes,
S120,Abridge AI scribe,Yes,No,No,No,No,No,No,Ambient speech stack,Abridge proprietary model,Ambient audio→clinical note,F1,Spoken encounter converted to structured note,Unidirectional,None,NR,Proprietary,Clinical deployment,No,No,No,No,No,No,No,
S121,Four private 1B clinical LM pipelines,Yes,No,No,No,Yes,No,No,NR,Matched 1B language models,DP-SGD / DP synthetic data / DP-teacher knowledge distillation,F0,Text-only ICD coding,Unidirectional,None,NR,Matched clinical LM pretraining,Differential privacy and knowledge distillation,No,Yes,No,No,No,No,No,
S122,Medical LLM memorization analysis,Yes,No,No,No,Yes,No,No,NR,Meditron; Med-Llama-3; Me-LLaMA; general baselines,Continued pretraining/fine-tuning memorization audit,F0,No multimodal fusion,Unidirectional,None,NR,Medical continued pretraining and fine-tuning,Memorization measurement across adaptation stages,Yes,Yes,No,No,No,No,No,
S123,MEDEQUALQA,Yes,No,No,No,No,No,No,NR,GPT-4.1,Counterfactual pronoun perturbation + CSC ablations,F0,No multimodal fusion,Unidirectional,None,NR,Backbone-specific,Fairness audit of reasoning traces,No,No,No,No,No,No,No,
S124,11-LLM multi-domain red team,Yes,No,No,No,No,No,No,NR,11 contemporary LLMs,Adversarial mutations + 7-dimension rubric,F0,No multimodal fusion,Iterative,None,NR,Backbone-specific,Red-team evaluation,No,No,No,Yes,No,No,No,
S125,HealthAdvice physician-led red team,Yes,No,No,No,No,No,No,NR,Claude; Gemini; GPT-4o; Llama-3 70B,Patient-advice safety rubric,F0,No multimodal fusion,Unidirectional,None,NR,Backbone-specific,Safety evaluation only,No,No,No,Yes,No,No,No,
S126,OpenManus / Manus agent safeguards,Yes,Yes,No,No,Yes,Yes,Yes,Model-dependent,Llama-4/OpenManus; Manus proprietary planner-executor-verifier,Agent tools + output filtering + prompt engineering + few-shot customization,F5,"Agentic fusion of text, multimodal inputs, tools, and external information",Iterative,Prior-current,Tool use varies by benchmark,Backbone-specific,Agent customization and hallucination filtering,No,No,No,Yes,No,Yes,Yes,
S127,AI Consult 2.0 / GPT-4o,Yes,No,No,No,Yes,Yes,Yes,NR,GPT-4o,Structured+free-text EMR prompt integration,F1,Clinical variables and free-text encounter data serialized into patient-specific prompt,Unidirectional,None,NR,GPT-4o pretrained,Prompted point-of-care clinical decision support,No,No,No,Yes,No,No,No,
S128,PreA / GPT-4o mini,Yes,No,No,No,No,No,No,NR,GPT-4o mini,Interactive patient dialogue and referral synthesis,F0,"Text-only multi-turn history-taking, preliminary diagnosis, test ordering, and referral report",Iterative,None,NR,GPT-4o-mini pretrained,Community/stakeholder codesign; prompting/local adaptation,No,No,No,Yes,No,No,Yes,
S129,Xuanwu-NeuroAid,Yes,No,No,No,Yes,Yes,Yes,NR,DeepSeek-R1-Distill-Llama-70B derivative,Unified text representation,F1,"Vitals, labs and imaging reports converted to standardized textual descriptors",Unidirectional,None,Raw imaging unavailable; report text used instead,Distilled domain model,Domain-specific clinical training and structured output prompting,Yes,Yes,NR,Yes,NR,No,No,
S130,DeepDR-LLM,Yes,Yes,No,No,Yes,Yes,Yes,DeepDR-Transformer,Fine-tuned LLaMA,Image-model outputs + clinical metadata fed to LLM,F5,"Retinal image analysis, lesion/DR grading, and clinical metadata integrated for individualized recommendation",Unidirectional,None,NR,LLaMA + large retinal image pretraining,"LLM fine-tuned on 371,763 real-world management recommendations",Yes,Yes,NR,No,No,No,No,
S131,GPT-4 physician assistance,Yes,No,No,No,No,No,No,NR,GPT-4,NR,F0,No multimodal fusion,Iterative,None,NR,GPT-4 pretrained,Interactive physician prompting,No,No,No,Yes,No,No,No,
S132,Ambient AI scribe randomized trial,Yes,No,No,No,No,No,No,Speech/audio frontend,Proprietary ambient generative model,Speech-to-text + note generation pipeline,F1,Ambient audio transformed into structured clinical documentation,Unidirectional,None,NR,Proprietary,Real-world ambient documentation,No,No,No,No,No,No,No,
S133,Ambient AI pragmatic RCT,Yes,No,No,No,No,No,No,Speech/audio frontend,Proprietary ambient generative model,Speech-to-text + note generation pipeline,F1,Ambient encounter audio transformed into documentation,Unidirectional,None,NR,Proprietary,Real-world ambient documentation,No,No,No,No,No,No,No,
S134,Abridge ambient AI,Yes,No,No,No,No,No,No,Audio transcription stack,Abridge proprietary generative model,Ambient audio→transcript→structured note,F1,Encounter audio and transcript synthesized into clinical note,Unidirectional,None,NR,Proprietary,Clinical deployment,No,No,No,No,No,No,No,
S135,DAX Copilot,Yes,No,No,No,No,No,No,Ambient speech stack,Nuance DAX Copilot proprietary model,Ambient audio→AI-generated note,F1,Speech interpretation and structured note generation,Unidirectional,None,NR,Proprietary,Clinical deployment,No,No,No,No,No,No,No,
S136,MedAgentBrief / Gemini 2.5 Pro,Yes,No,No,No,Yes,No,No,NR,Gemini 2.5 Pro,Agentic staged summarization + iterative refinement + source linking,F0,Text-only longitudinal multi-note summarization,Iterative,Longitudinal,Processes arbitrarily long hospitalizations through staged summarization,Gemini pretrained,Agentic workflow with hallucination-reduction steps,No,No,No,Yes,No,No,Yes,
S137,EHR inbox drafting pipeline,Yes,No,No,No,Yes,Yes,No,NR,GPT-3.5 Turbo + GPT-4,Message categorization + structured patient context + last-note prompting,F1,"Message text, structured patient elements, and prior clinic note combined in prompt",Unidirectional,Prior-current,NR,GPT pretrained,EHR-integrated prompting,No,No,No,Yes,No,No,No,
S138,P&P Care / GPT-4o mini,Yes,No,No,No,No,No,No,NR,GPT-4o mini,Multiturn chatbot + e-learning modules,F0,Text-only interactive consultation,Iterative,None,NR,GPT-4o-mini pretrained,Community codesign + prompt adaptation,No,No,No,Yes,No,No,No,
S139,GPT-4o / Llama 3 / Command R+,Yes,No,No,No,No,No,No,NR,GPT-4o; Llama 3; Command R+,NR,F0,No multimodal fusion,Iterative,None,NR,Backbone-specific,Interactive public medical-advice assistance,No,No,No,Yes,No,No,No,
S140,On-site ED discharge LLM assistant,Yes,No,No,No,Yes,No,No,NR,On-site LLM (exact backbone NR in accessible article text),Patient-record text→draft→physician editing,F0,Text-only discharge documentation assistance,Unidirectional,None,NR,Local clinical deployment model,Physician-assisted note generation,No,No,No,No,No,No,No,
S141,EHR-embedded HC prompt ensemble,Yes,No,No,No,Yes,No,No,NR,GPT-3.5 Turbo; GPT-4; GPT-4-32k,Prompt ensemble over longitudinal EHR notes,F0,Text-only longitudinal hospital-course summarization,Unidirectional,Longitudinal,Longer records trigger GPT-4-32k,GPT pretrained,Prompt ensemble,No,No,No,Yes,No,No,No,
S142,GPT-4 Turbo discharge summarizer,Yes,No,No,No,Yes,No,No,NR,GPT-4 Turbo 128K,Long-context concatenated clinical-note prompting,F0,Text-only longitudinal encounter summarization,Unidirectional,Longitudinal,Initial context-window limits excluded oversized encounters,GPT pretrained,Prompt-engineered summarization,No,No,No,Yes,No,No,No,
S143,GPT-4o HPV chatbot,Yes,No,No,No,No,No,No,NR,GPT-4o,Multi-turn conversational prompting,F0,Text-only patient-facing interaction,Iterative,None,NR,GPT-4o pretrained,Default vs conversational response-style prompting,No,No,No,Yes,No,No,No,
S144,ClinicalT5,Yes,No,No,No,No,No,No,NR,T5,NR,F0,NR,NR,NR,NR,NR,Clinical-domain pretraining / continued pretraining,Domain-adaptive pretraining; Supervised fine-tuning,Yes,Yes,No,No,No,No,No
S145,GatorTronGPT 5B/20B,Yes,No,No,No,No,No,No,NR,GPT-3-style decoder,NR,F0,NR,NR,NR,NR,NR,Large-scale clinical + general causal-LM pretraining,Domain-adaptive pretraining; Supervised fine-tuning,Yes,Yes,No,Yes,No,No,No
